x;y
0.0550098;0.000910028
0.0650097;0.000919864
0.0750097;0.000930026
0.0850097;0.000939906
0.0950097;0.000950229
0.10501;0.000960802
0.11501;0.000970498
0.12501;0.000982913
0.13501;0.000994238
0.14501;0.00100589
0.15501;0.0010178
0.16501;0.00102999
0.17501;0.00104248
0.18501;0.00105526
0.19501;0.00106837
0.20501;0.0010818
0.21501;0.00109558
0.22501;0.00110971
0.23501;0.00112421
0.24501;0.00113909
0.25501;0.00115441
0.26501;0.00117009
0.27501;0.00118622
0.28501;0.00120281
0.29501;0.00121987
0.30501;0.00123743
0.31501;0.00125549
0.325009;0.00127409
0.335009;0.00129325
0.345009;0.001313
0.355009;0.00133335
0.365009;0.00135435
0.375009;0.00137601
0.385009;0.00139838
0.395009;0.00142149
0.405009;0.00144538
0.415009;0.00147008
0.425009;0.00149564
0.435009;0.0015221
0.445009;0.00154951
0.455009;0.00157793
0.465009;0.00160741
0.475009;0.00163801
0.485009;0.00166979
0.495009;0.00170283
0.505009;0.00173721
0.515009;0.001773
0.525009;0.00181029
0.535009;0.00184918
0.545009;0.00188978
0.555008;0.00193221
0.565008;0.00197657
0.575008;0.00202302
0.585008;0.00207171
0.595008;0.00212279
0.605008;0.00217645
0.615008;0.0022329
0.625008;0.00229237
0.635007;0.00235509
0.645007;0.00242132
0.655007;0.00249139
0.665007;0.00256562
0.675006;0.00264441
0.685006;0.0027282
0.695006;0.00281748
0.705005;0.00291279
0.715005;0.00301476
0.725004;0.0031241
0.735003;0.00324165
0.745002;0.00336836
0.755002;0.00350534
0.765;0.00365388
0.774999;0.00381551
0.784998;0.00399201
0.794996;0.00418554
0.804993;0.00439865
0.814991;0.00463444
0.824987;0.00489672
0.834983;0.00519067
0.844977;0.00552172
0.85497;0.00589722
0.864961;0.00632655
0.874949;0.00682187
0.884932;0.00739912
0.894908;0.00808094
0.904875;0.00889597
0.914825;0.0098834
0.92475;0.0111015
0.93463;0.012627
0.944434;0.01457
0.954106;0.0170658
0.963554;0.0202572
0.972669;0.0242212
0.981377;0.0288706
0.989704;0.0339638
0.997741;0.0392201
1.00557;0.0444239
1.01325;0.0494485
1.02078;0.0542291
1.02817;0.0587201
1.03538;0.06292
1.04236;0.066803
1.04907;0.0703507
1.05541;0.0735433
1.06123;0.0763139
1.06631;0.0785775
1.07149;0.0804614
1.06928;0.0765834
1.06549;0.0735361
1.06086;0.0697632
1.05582;0.0654313
1.05061;0.0605317
1.04545;0.0549869
1.04067;0.0486557
1.04313;0.0215436
1.05194;0.0171037
1.06147;0.0142014
1.07125;0.0121547
1.08113;0.0106318
1.09106;0.0094529
1.10101;0.00851072
1.11098;0.00774204
1.12096;0.00710102
1.13095;0.0065582
1.14093;0.00609255
1.15093;0.00568905
1.16092;0.00533608
1.17092;0.00502434
1.18091;0.00474702
1.19091;0.00449869
1.20091;0.00427505
1.2109;0.00407258
1.2209;0.00388841
1.2309;0.00372017
1.2409;0.00356588
1.2509;0.00342386
1.2609;0.00329272
1.2709;0.00317126
1.2809;0.00305856
1.2909;0.00295358
1.30089;0.00285557
1.31089;0.00276386
1.32089;0.00267784
1.33089;0.00259702
1.34089;0.00252093
1.35089;0.00244917
1.36089;0.00238138
1.37089;0.00231724
1.38089;0.00225646
1.39089;0.00219879
1.40089;0.00214399
1.41089;0.00209185
1.42089;0.00204219
1.43089;0.00199484
1.44089;0.00194962
1.45089;0.00190642
1.46089;0.00186508
1.47089;0.0018255
1.48089;0.00178756
1.49089;0.00175117
1.50089;0.00171622
1.51089;0.00168265
1.52089;0.00165036
1.53089;0.00161929
1.54089;0.00158937
1.55089;0.00156053
1.56089;0.00153272
1.57089;0.00150588
1.58089;0.00147997
1.59089;0.00145493
1.60089;0.00143073
1.61089;0.00140732
1.62089;0.00138466
1.63089;0.00136272
1.64089;0.00134146
1.65089;0.00132086
1.66089;0.00130088
1.67089;0.00128149
1.68089;0.00126268
1.69089;0.00124441
1.70089;0.00122666
1.71089;0.00120941
1.72089;0.00119263
1.73089;0.00117632
1.74089;0.00116045
1.75089;0.001145
1.76089;0.00112995
1.77089;0.0011153
1.78089;0.00110102
1.79089;0.0010871
1.80089;0.00107353
1.81089;0.00106029
1.82089;0.00104738
1.83089;0.00103477
1.84089;0.00102247
1.85089;0.00101045
1.86089;0.000998718
1.87089;0.000987252
1.88089;0.000976046
1.89089;0.000965092
1.90089;0.00095438
1.91089;0.000943904
1.92089;0.000933655
1.93089;0.000923627
1.94089;0.000913811
1.95089;0.000904202
1.96089;0.000894793
1.97089;0.000885578
1.98089;0.000876551
1.99089;0.000867705
2.00089;0.000859037
2.01089;0.00085054
2.02089;0.000842209
2.03089;0.00083404
2.04089;0.000826028
2.05089;0.000818168
2.06089;0.000810457
2.07089;0.000802889
2.08089;0.000795462
2.09089;0.00078817
2.10089;0.000781011
2.11089;0.000773981
2.12089;0.000767076
2.13089;0.000760294
2.14089;0.00075363
2.15089;0.000747082
2.16089;0.000740647
2.17089;0.000734322
2.18089;0.000728104
2.19089;0.00072199
2.20089;0.000715978
2.21089;0.000710066
2.22089;0.00070425
2.23089;0.000698529
2.24089;0.0006929
2.25089;0.000687361
2.26089;0.00068191
2.27089;0.000676544
2.28089;0.000671263
2.29089;0.000666063
2.30089;0.000660943
2.31089;0.000655901
2.32089;0.000650936
2.33089;0.000646045
2.34089;0.000641227
2.35089;0.00063648
2.36089;0.000631803
2.37089;0.000627195
2.38089;0.000622653
2.39089;0.000618176
2.40089;0.000613764
2.41089;0.000609414
2.42089;0.000605125
2.43089;0.000600896
2.44089;0.000596726
2.45089;0.000592613
2.46089;0.000588556
2.47089;0.000584555
2.48089;0.000580608
2.49089;0.000576713
2.50089;0.000572871
2.51089;0.000569079
2.52089;0.000565338
2.53089;0.000561645
2.54089;0.000558
2.55089;0.000554402
2.56089;0.00055085
2.57089;0.000547344
2.58089;0.000543881
2.59089;0.000540463
2.60089;0.000537087
2.61089;0.000533753
2.62089;0.00053046
2.63089;0.000527207
2.64089;0.000523994
2.65089;0.00052082
2.66089;0.000517684
2.67089;0.000514586
2.68089;0.000511525
2.69089;0.0005085
2.70089;0.00050551
2.71089;0.000502555
2.72089;0.000499635
2.73089;0.000496748
2.74089;0.000493895
2.75089;0.000491074
2.76089;0.000488286
2.77089;0.000485529
2.78089;0.000482803
2.79089;0.000480108
2.80089;0.000477442
2.81089;0.000474806
2.82089;0.000472199
2.83089;0.00046962
2.84089;0.00046707
2.85089;0.000464547
2.86089;0.000462051
2.87089;0.000459581
2.88089;0.000457138
2.89089;0.000454721
